"DATE","TIME PERIOD","Average close"
"2016-02-29","2016Feb","-0.1836"
"2016-03-31","2016Mar","-0.2285"
"2016-04-30","2016Apr","-0.2492"
"2016-05-31","2016May","-0.2572"
"2016-06-30","2016Jun","-0.2679"
"2016-07-31","2016Jul","-0.2945"
"2016-08-31","2016Aug","-0.2982"
"2016-09-30","2016Sep","-0.3016"
"2016-10-31","2016Oct","-0.3090"
"2016-11-30","2016Nov","-0.3127"
"2016-12-31","2016Dec","-0.3158"
"2017-01-31","2017Jan","-0.3255"
"2017-02-28","2017Feb","-0.3286"
"2017-03-31","2017Mar","-0.3293"
"2017-04-30","2017Apr","-0.3304"
"2017-05-31","2017May","-0.3295"
"2017-06-30","2017Jun","-0.3300"
"2017-07-31","2017Jul","-0.3304"
"2017-08-31","2017Aug","-0.3291"
"2017-09-30","2017Sep","-0.3294"
"2017-10-31","2017Oct","-0.3295"
"2017-11-30","2017Nov","-0.3290"
"2017-12-31","2017Dec","-0.3279"
"2018-01-31","2018Jan","-0.3285"
"2018-02-28","2018Feb","-0.3285"
"2018-03-31","2018Mar","-0.3279"
"2018-04-30","2018Apr","-0.3285"
"2018-05-31","2018May","-0.3252"
"2018-06-30","2018Jun","-0.3220"
"2018-07-31","2018Jul","-0.3207"
"2018-08-31","2018Aug","-0.3190"
"2018-09-30","2018Sep","-0.3188"
"2018-10-31","2018Oct","-0.3177"
"2018-11-30","2018Nov","-0.3164"
"2018-12-31","2018Dec","-0.3119"
"2019-01-31","2019Jan","-0.3080"
"2019-02-28","2019Feb","-0.3084"
"2019-03-31","2019Mar","-0.3092"
"2019-04-30","2019Apr","-0.3105"
"2019-05-31","2019May","-0.3119"
"2019-06-30","2019Jun","-0.3289"
"2019-07-31","2019Jul","-0.3649"
"2019-08-31","2019Aug","-0.4077"
"2019-09-30","2019Sep","-0.4176"
"2019-10-31","2019Oct","-0.4129"
"2019-11-30","2019Nov","-0.4013"
"2019-12-31","2019Dec","-0.3947"
"2020-01-31","2020Jan","-0.3911"
"2020-02-29","2020Feb","-0.4089"
"2020-03-31","2020Mar","-0.4166"
"2020-04-30","2020Apr","-0.2541"
"2020-05-31","2020May","-0.2720"
"2020-06-30","2020Jun","-0.3760"
"2020-07-31","2020Jul","-0.4441"
"2020-08-31","2020Aug","-0.4797"
"2020-09-30","2020Sep","-0.4914"
"2020-10-31","2020Oct","-0.5091"
"2020-11-30","2020Nov","-0.5209"
"2020-12-31","2020Dec","-0.5381"
"2021-01-31","2021Jan","-0.5472"
"2021-02-28","2021Feb","-0.5411"
"2021-03-31","2021Mar","-0.5391"
"2021-04-30","2021Apr","-0.5382"
"2021-05-31","2021May","-0.5401"
"2021-06-30","2021Jun","-0.5429"
"2021-07-31","2021Jul","-0.5448"
"2021-08-31","2021Aug","-0.5476"
"2021-09-30","2021Sep","-0.5450"
"2021-10-31","2021Oct","-0.5498"
"2021-11-30","2021Nov","-0.5674"
"2021-12-31","2021Dec","-0.5820"
"2022-01-31","2022Jan","-0.5601"
"2022-02-28","2022Feb","-0.5315"
"2022-03-31","2022Mar","-0.4954"
"2022-04-30","2022Apr","-0.4479"
"2022-05-31","2022May","-0.3857"
"2022-06-30","2022Jun","-0.2392"
"2022-07-31","2022Jul","0.0366"
"2022-08-31","2022Aug","0.3947"
"2022-09-30","2022Sep","1.0109"
"2022-10-31","2022Oct","1.4277"
"2022-11-30","2022Nov","1.8252"
"2022-12-31","2022Dec","2.0635"
"2023-01-31","2023Jan","2.3449"
"2023-02-28","2023Feb","2.6403"
"2023-03-31","2023Mar","2.9106"
"2023-04-30","2023Apr","3.1670"
"2023-05-31","2023May","3.3664"
"2023-06-30","2023Jun","3.5359"
"2023-07-31","2023Jul","3.6718"
"2023-08-31","2023Aug","3.7803"
"2023-09-30","2023Sep","3.8800"
"2023-10-31","2023Oct","3.9676"
"2023-11-30","2023Nov","3.9716"
"2023-12-31","2023Dec","3.9331"
"2024-01-31","2024Jan","3.9253"
"2024-02-29","2024Feb","3.9232"
"2024-03-31","2024Mar","3.9224"
"2024-04-30","2024Apr","3.8864"
"2024-05-31","2024May","3.8137"
"2024-06-30","2024Jun","3.7245"
"2024-07-31","2024Jul","3.6848"
"2024-08-31","2024Aug","3.5476"
"2024-09-30","2024Sep","3.4337"
"2024-10-31","2024Oct","3.1666"
"2024-11-30","2024Nov","3.0068"
