timestamp,Basel Temperature Max,Basel Temperature Min,Basel Temperature Mean
20080513T0000,22.64053,11.590529,17.490528
20080514T0000,24.670528,8.170529,18.496778
20080515T0000,20.000528,14.3005295,16.935112
20080516T0000,20.72053,13.570529,17.580942
20080517T0000,17.350529,11.820529,15.138443
20080518T0000,15.860529,11.070529,13.777195
20080519T0000,17.330528,10.0505295,14.013446
20080520T0000,17.770529,8.870529,13.948029
20080521T0000,16.030529,6.3705287,12.02053
20080522T0000,17.95053,7.3805285,13.745532
20080523T0000,20.57053,9.250529,15.889279
20080524T0000,20.510529,9.880529,15.454278
20080525T0000,23.930529,13.640529,19.118862
20080526T0000,27.180529,13.560529,19.87303
20080527T0000,29.23053,15.340529,22.399694
20080528T0000,23.940529,13.810529,19.73303
20080529T0000,23.73053,15.980529,19.050112
20080530T0000,21.79053,15.640529,18.36553
20080531T0000,20.580528,13.760529,17.468447
20080601T0000,25.56053,14.180529,20.224697
20080602T0000,23.430529,15.580529,19.103445
20080603T0000,20.910528,13.380529,17.335947
20080604T0000,18.64053,13.340529,16.170944
20080605T0000,16.81053,14.220529,15.772195
20080606T0000,17.73053,12.240529,15.670115
20080607T0000,17.780529,11.780529,14.613445
20080608T0000,19.170528,13.430529,16.287611
20080609T0000,21.910528,11.8005295,17.597612
20080610T0000,23.160528,13.610529,19.315947
20080611T0000,19.010529,14.490529,17.065947
20080612T0000,20.63053,11.320529,15.473446
20080613T0000,15.100529,9.030529,12.352195
20080614T0000,17.680529,9.640529,13.5801115
20080615T0000,14.820529,10.390529,12.630947
20080616T0000,17.65053,10.670529,14.361778
20080617T0000,18.20053,11.500529,14.925946
20080618T0000,22.600529,12.420529,18.081778
20080619T0000,24.110529,15.030529,19.877195
20080620T0000,24.14053,15.320529,20.089281
20080621T0000,27.23053,16.510529,22.311777
20080622T0000,31.80053,16.06053,25.785528
20080623T0000,28.330528,19.110529,24.028448
20080624T0000,28.12053,17.39053,22.843445
20080625T0000,26.48053,19.96053,23.064695
20080626T0000,23.65053,17.330528,20.127611
20080627T0000,24.38053,15.460529,20.438448
20080628T0000,25.510529,13.910529,20.621363
20080629T0000,28.20053,15.890529,22.884695
20080630T0000,24.71053,17.29053,21.401781
20080701T0000,28.82053,16.580528,23.347197
20080702T0000,29.190529,17.530529,23.932196
20080703T0000,21.100529,13.760529,18.573862
20080704T0000,22.000528,12.210529,17.777613
20080705T0000,26.46053,12.910529,21.07053
20080706T0000,21.13053,14.5505295,17.52928
20080707T0000,20.610529,13.150529,17.016363
20080708T0000,19.46053,11.620529,16.285944
20080709T0000,23.14053,12.230529,18.421366
20080710T0000,27.14053,15.880529,22.035948
20080711T0000,25.63053,16.70053,20.254278
20080712T0000,20.38053,15.270529,17.421362
20080713T0000,16.170528,13.620529,14.896362
20080714T0000,19.79053,12.450529,16.632196
20080715T0000,23.780529,13.460529,19.036362
20080716T0000,25.280529,15.910529,20.785944
20080717T0000,19.500528,14.740529,17.22678
20080718T0000,22.090528,14.710529,18.234697
20080719T0000,25.21053,14.460529,20.261366
20080720T0000,23.990528,11.720529,18.494696
20080721T0000,17.660528,12.230529,15.089278
20080722T0000,17.82053,11.920529,15.117196
20080723T0000,22.410528,10.290529,16.703863
20080724T0000,24.080528,10.450529,18.13803
20080725T0000,25.89053,13.710529,20.845114
20080726T0000,25.990528,19.660528,21.956366
20080727T0000,23.20053,18.15053,20.68678
20080728T0000,26.39053,17.72053,22.578032
20080729T0000,27.07053,18.850529,23.305944
20080730T0000,28.170528,19.45053,24.168028
20080731T0000,29.71053,17.830528,24.698866
20080801T0000,24.410528,16.250528,20.923029
20080802T0000,25.420528,16.170528,20.602198
20080803T0000,26.12053,16.96053,22.023027
20080804T0000,23.910528,15.280529,20.324282
20080805T0000,25.020529,16.840528,21.372612
20080806T0000,27.87053,15.750529,22.783445
20080807T0000,31.330528,15.950529,22.390108
20080808T0000,19.660528,14.600529,17.04553
20080809T0000,22.20053,14.220529,18.277613
20080810T0000,25.32053,14.890529,20.600945
20080811T0000,21.680529,16.430529,19.19636
20080812T0000,23.490528,16.260529,18.889278
20080813T0000,21.660528,13.430529,17.759695
20080814T0000,21.96053,11.900529,17.194698
20080815T0000,15.560529,11.870529,13.805945
20080816T0000,20.96053,10.600529,16.230114
20080817T0000,21.240528,12.560529,17.153028
20080818T0000,25.87053,13.480529,20.370111
20080819T0000,24.48053,15.450529,19.183863
20080820T0000,20.190529,13.860529,17.371365
20080821T0000,22.990528,13.510529,18.405111
20080822T0000,23.260529,15.040529,17.973864
20080823T0000,16.490528,10.880529,14.660946
20080824T0000,21.940529,10.210529,16.903862
20080825T0000,23.05053,14.390529,18.807194
20080826T0000,24.360529,14.150529,19.406778
20080827T0000,25.030529,14.200529,19.645529
20080828T0000,24.06053,14.840529,19.707193
20080829T0000,24.23053,14.3005295,19.267612
20080830T0000,27.030529,13.010529,20.391779
20080831T0000,28.32053,16.330528,21.82553
20080901T0000,20.510529,15.190529,18.421778
20080902T0000,23.98053,15.340529,19.658861
20080903T0000,24.31053,15.660529,19.38803
20080904T0000,19.37053,14.940529,16.78428
20080905T0000,26.590528,15.040529,20.773027
20080906T0000,20.55053,14.790529,17.990528
20080907T0000,20.56053,13.430529,16.604279
20080908T0000,20.57053,12.470529,16.59428
20080909T0000,26.57053,11.180529,18.928448
20080910T0000,24.73053,15.000529,20.509697
20080911T0000,25.06053,15.190529,20.138033
20080912T0000,17.750528,13.390529,15.423444
20080913T0000,13.240529,11.100529,12.314278
20080914T0000,16.920528,9.200529,12.58303
20080915T0000,13.630529,5.0005283,10.093028
20080916T0000,14.620529,6.540529,11.180945
20080917T0000,16.600529,4.540529,11.188445
20080918T0000,18.770529,5.3505287,12.555946
20080919T0000,18.000528,9.830529,13.520947
20080920T0000,17.07053,7.4005284,12.094695
20080921T0000,16.32053,4.6505284,10.200946
20080922T0000,14.480529,5.8905287,10.65553
20080923T0000,15.870529,6.2505283,11.475945
20080924T0000,17.530529,6.3405285,12.39053
20080925T0000,16.73053,8.5505295,12.653446
20080926T0000,17.06053,6.1705284,11.697194
20080927T0000,18.330528,3.6105285,10.752194
20080928T0000,18.090528,6.3205285,12.374278
20080929T0000,19.170528,8.690529,14.045945
20080930T0000,15.840529,9.790529,13.212613
20081001T0000,18.840528,12.110529,15.098862
20081002T0000,15.530529,9.250529,13.04678
20081003T0000,12.860529,6.4205284,9.49553
20081004T0000,10.450529,5.0705285,7.723862
20081005T0000,19.490528,4.1405287,12.401362
20081006T0000,18.39053,10.290529,15.138863
20081007T0000,22.690529,12.330529,16.886364
20081008T0000,20.510529,10.250529,15.898446
20081009T0000,18.440529,12.150529,14.715529
20081010T0000,20.680529,11.750529,15.847196
20081011T0000,22.72053,9.830529,16.543446
20081012T0000,23.72053,12.630529,17.860113
20081013T0000,23.840528,12.400529,17.925112
20081014T0000,21.830528,14.150529,17.675528
20081015T0000,20.73053,13.650529,17.30678
20081016T0000,17.40053,10.400529,14.251363
20081017T0000,13.790529,7.290529,9.902612
20081018T0000,14.700529,4.5205283,9.359279
20081019T0000,15.910529,7.2005286,11.324279
20081020T0000,21.330528,9.510529,15.216362
20081021T0000,21.96053,12.790529,16.528028
20081022T0000,12.820529,6.5205283,8.443028
20081023T0000,14.110529,4.0605288,8.894694
20081024T0000,14.700529,4.3105288,9.0417795
20081025T0000,15.470529,4.1005287,9.464694
20081026T0000,17.15053,4.290529,11.197196
20081027T0000,13.760529,8.900529,11.243446
20081028T0000,11.330529,7.6405287,9.447196
20081029T0000,8.0505295,3.0505285,6.5067782
20081030T0000,8.810529,1.4505286,5.550528
20081031T0000,14.530529,2.7805285,8.291363
20081101T0000,17.250528,3.7305286,9.908029
20081102T0000,16.88053,8.840529,12.552196
20081103T0000,16.610529,8.240529,12.038863
20081104T0000,14.830529,7.3405285,10.903029
20081105T0000,16.32053,10.120529,13.271363
20081106T0000,14.220529,7.6405287,11.033028
